,ts,actual,district,MEAN,ARF,HTR,SRP
0,2016-03-04 19:30:30,728,Manhattan,0.0,0.0,0.0,0.0
1,2016-03-04 19:30:48,724,Manhattan,728.0,87.36,14.56,728.0
2,2016-03-04 19:30:50,249,Manhattan,726.0,726.0,726.0,726.047397137606
3,2016-03-04 19:30:56,724,Manhattan,567.0,567.4888888888888,567.0,568.5940143526598
4,2016-03-04 19:30:59,331,Manhattan,606.25,610.4641379310344,606.25,605.0472182094572
5,2016-03-04 19:31:04,854,Manhattan,551.2,546.0588235294117,551.2,551.9179725321998
6,2016-03-04 19:31:24,389,Manhattan,601.6666666666667,604.7772404900065,601.6666666666667,603.5866941884101
7,2016-03-04 19:31:34,201,Manhattan,571.2857142857143,575.0308441558441,571.2857142857143,571.1590875047619
8,2016-03-04 19:31:37,601,Manhattan,525.0,509.5388888888889,525.0,521.0932099201339
9,2016-03-04 19:31:51,273,Manhattan,533.4444444444445,524.1428571428571,533.4444444444445,535.9517208986204
10,2016-03-04 19:31:55,481,Manhattan,507.40000000000003,470.1467391304348,507.40000000000003,485.3655539870348
11,2016-03-04 19:31:57,1186,Manhattan,505.00000000000006,418.8041666666667,505.00000000000006,533.63684660412
12,2016-03-04 19:31:58,1226,Manhattan,561.75,582.6388888888888,561.75,530.0584550643899
13,2016-03-04 19:32:04,875,Manhattan,612.8461538461538,593.9564622044583,612.8461538461538,606.2746773154525
14,2016-03-04 19:32:38,780,Manhattan,631.5714285714286,652.0613030083484,631.5714285714286,654.2466816069928
15,2016-03-04 19:32:40,835,Manhattan,641.4666666666667,648.3829291044776,641.4666666666667,641.4579637805185
16,2016-03-04 19:32:41,2293,Global,653.5625,0.0,0.0,0.0
17,2016-03-04 19:32:43,350,Manhattan,750.0,696.0991332630826,653.5625,714.3840133167951
18,2016-03-04 19:32:45,889,Manhattan,727.7777777777778,612.977813852814,635.7058823529412,606.0783757918009
19,2016-03-04 19:32:49,694,Manhattan,736.2631578947369,622.028597008637,649.7777777777778,664.3589960191412
20,2016-03-04 19:33:03,1274,Manhattan,734.1500000000001,648.9956964480543,652.1052631578948,652.8827055289746
21,2016-03-04 19:33:20,173,Manhattan,759.8571428571429,674.9432352941176,683.2,723.2587457097732
22,2016-03-04 19:33:22,986,Manhattan,733.1818181818182,659.8609486679662,658.9047619047619,648.9381613194035
23,2016-03-04 19:33:27,323,Manhattan,744.1739130434784,706.7857499999999,673.7727272727273,672.427123769836
24,2016-03-04 19:33:32,339,Manhattan,726.6250000000001,645.9117203219315,658.5217391304348,641.7229783961199
25,2016-03-04 19:33:34,516,Manhattan,711.1200000000001,615.5705859476277,645.2083333333333,627.4387623695652
26,2016-03-04 19:33:40,860,Global,703.6153846153848,275.16,45.86,2293.0
27,2016-03-04 19:33:46,649,Manhattan,709.4074074074075,648.8899963754983,640.04,563.2750108527226
28,2016-03-04 19:33:46,637,Manhattan,707.2500000000001,629.8884983127109,640.3846153846154,663.6467102504437
29,2016-03-04 19:33:52,300,Manhattan,704.8275862068966,619.7084448160535,640.2592592592592,605.3972912749937
30,2016-03-04 19:33:53,258,Manhattan,691.3333333333334,597.1568603809983,628.1071428571429,579.0582318778081
31,2016-03-04 19:34:10,233,Manhattan,677.3548387096774,594.810108644308,615.344827586207,505.5223686451403
32,2016-03-04 19:34:14,1740,Global,663.46875,362.7454125977411,65.41421398783666,1593.4800245473907
33,2016-03-04 19:34:30,1022,Manhattan,696.0909090909091,594.1846030473135,602.6,473.4694850699475
34,2016-03-04 19:34:40,1378,Manhattan,705.6764705882354,609.6948843459065,616.1290322580645,784.4439919460472
35,2016-03-04 19:34:46,624,Manhattan,724.8857142857144,584.3910504978501,639.9375,579.1325849130191
36,2016-03-04 19:34:49,734,Manhattan,722.0833333333334,638.9094202898551,639.4545454545455,670.4878716193648
37,2016-03-04 19:34:53,797,Manhattan,722.4054054054054,747.070636539211,642.2352941176471,738.2988149077444
38,2016-03-04 19:34:53,454,Global,724.3684210526316,1558.1750700280113,1631.0,1637.4489537761067
39,2016-03-04 19:35:06,1616,Manhattan,717.4358974358975,812.9441401980996,646.6571428571428,772.8139910703809
40,2016-03-04 19:35:06,457,Manhattan,739.9,729.5276694237755,673.5833333333334,706.034555782428
